Task_ID,Operator_ID,Machine_ID,Task_Type,Weather,Site_Terrain,Operator_Skill,Machine_Age,Estimated_Time,Actual_Time
T0001,OP01,M01,Excavation,Rainy,Sloped,Beginner,3.2,65,104
T0002,OP01,M01,Excavation,Rainy,Muddy,Beginner,3.2,75,129
T0003,OP01,M01,Loading,Rainy,Sloped,Beginner,3.2,35,56
T0004,OP01,M01,Loading,Rainy,Flat,Beginner,3.2,30,50
T0005,OP01,M01,Excavation,Rainy,Muddy,Beginner,3.2,70,119
T0006,OP02,M02,Loading,Rainy,Flat,Intermediate,5.5,35,43
T0007,OP02,M02,Hauling,Rainy,Muddy,Intermediate,5.5,60,84
T0008,OP02,M02,Loading,Rainy,Muddy,Intermediate,5.5,40,55
T0009,OP03,M03,Loading,Rainy,Muddy,Intermediate,8.1,30,40
T0010,OP03,M03,Excavation,Rainy,Muddy,Intermediate,8.1,55,76
T0011,OP03,M03,Excavation,Rainy,Flat,Intermediate,8.1,75,90
T0012,OP04,M04,Excavation,Rainy,Muddy,Expert,4.0,75,92
T0013,OP04,M04,Grading,Rainy,Sloped,Expert,4.0,45,54
T0014,OP04,M04,Excavation,Rainy,Flat,Expert,4.0,60,67
T0015,OP05,M05,Hauling,Rainy,Muddy,Expert,6.7,50,64
T0016,OP05,M05,Hauling,Rainy,Flat,Expert,6.7,45,53
T0017,OP05,M05,Hauling,Rainy,Muddy,Expert,6.7,30,39
T0018,OP05,M05,Hauling,Rainy,Flat,Expert,6.7,40,49
T0019,OP05,M05,Hauling,Rainy,Muddy,Expert,6.7,40,54
T0020,OP05,M05,Hauling,Rainy,Rocky,Expert,6.7,60,79
T0021,OP06,M06,Grading,Rainy,Rocky,Beginner,2.4,45,73
T0022,OP06,M06,Grading,Rainy,Muddy,Beginner,2.4,50,86
T0023,OP06,M06,Grading,Rainy,Sloped,Beginner,2.4,40,66
T0024,OP06,M06,Grading,Rainy,Muddy,Beginner,2.4,60,101
T0025,OP06,M06,Grading,Rainy,Rocky,Beginner,2.4,75,120
T0026,OP06,M06,Grading,Rainy,Muddy,Beginner,2.4,70,117
