Timestamp,Machine_ID,Operator_ID,Shift_ID,Machine_Type,GPS_Zone,Engine_Hours,Fuel_Used,Load_Cycles,Idling_Time,Hydraulic_Pressure,Hours_Since_Service,Seatbelt_Status,Proximity_Alert,Safety_Alert_Triggered
2026-09-01T07:00:00Z,M01,OP01,SH-20260901-A,Excavator,Zone_E,4544.5,36.3,43,16,330.4,122.0,true,true,true
2026-09-01T07:00:00Z,M02,OP02,SH-20260901-A,Wheel Loader,Zone_E,7868.5,29.8,44,5,321.4,62.0,true,true,true
2026-09-01T07:00:00Z,M03,OP03,SH-20260901-A,Excavator,Zone_B,11503.0,36.8,49,7,311.7,222.0,true,false,false
2026-09-01T07:00:00Z,M04,OP04,SH-20260901-A,Dozer,Zone_C,5679.4,43.2,25,7,333.8,151.9,true,false,false
2026-09-01T07:00:00Z,M05,OP05,SH-20260901-A,Articulated Truck,Zone_D,9439.6,44.1,6,14,306.9,381.9,true,true,true
2026-09-01T07:00:00Z,M06,OP06,SH-20260901-A,Motor Grader,Zone_D,3498.4,22.6,10,2,325.7,91.9,true,true,true
2026-09-01T09:00:00Z,M01,OP01,SH-20260901-A,Excavator,Zone_A,4546.3,30.1,49,17,328.9,123.8,true,false,false
2026-09-01T09:00:00Z,M02,OP02,SH-20260901-A,Wheel Loader,Zone_B,7870.4,27.9,44,6,326.6,63.9,true,true,true
2026-09-01T09:00:00Z,M03,OP03,SH-20260901-A,Excavator,Zone_B,11504.9,37.0,64,12,314.6,223.9,true,true,true
2026-09-01T09:00:00Z,M04,OP04,SH-20260901-A,Dozer,Zone_E,5681.3,41.7,21,3,331.3,153.8,true,false,false
2026-09-01T09:00:00Z,M05,OP05,SH-20260901-A,Articulated Truck,Zone_D,9441.5,93.8,5,14,300.4,383.8,true,false,false
2026-09-01T09:00:00Z,M06,OP06,SH-20260901-A,Motor Grader,Zone_G,3500.4,24.7,12,4,328.1,93.9,true,false,false
2026-09-01T11:00:00Z,M01,OP01,SH-20260901-A,Excavator,Zone_A,4548.3,31.5,51,28,335.9,125.8,true,true,true
2026-09-01T11:00:00Z,M02,OP02,SH-20260901-A,Wheel Loader,Zone_A,7872.3,26.9,36,6,325.0,65.8,true,true,true
2026-09-01T11:00:00Z,M03,OP03,SH-20260901-A,Excavator,Zone_B,11506.8,37.1,64,12,315.3,225.8,true,false,false
2026-09-01T11:00:00Z,M04,OP04,SH-20260901-A,Dozer,Zone_F,5683.3,43.3,21,9,336.3,155.8,true,true,true
2026-09-01T11:00:00Z,M05,OP05,SH-20260901-A,Articulated Truck,Zone_D,9443.5,37.3,3,49,307.0,385.8,true,false,false
2026-09-01T11:00:00Z,M06,OP06,SH-20260901-A,Motor Grader,Zone_F,3502.4,22.2,8,19,329.7,95.9,true,true,true
2026-09-01T13:00:00Z,M01,OP01,SH-20260901-A,Excavator,Zone_A,4550.2,33.2,56,8,330.0,127.7,true,false,false
2026-09-01T13:00:00Z,M02,OP02,SH-20260901-A,Wheel Loader,Zone_D,7874.1,29.4,40,2,327.3,67.6,true,true,true
2026-09-01T13:00:00Z,M03,OP03,SH-20260901-A,Excavator,Zone_B,11508.6,27.3,29,47,309.2,227.6,true,false,false
2026-09-01T13:00:00Z,M04,OP04,SH-20260901-A,Dozer,Zone_C,5685.2,33.0,17,54,330.7,157.7,true,false,false
2026-09-01T13:00:00Z,M05,OP05,SH-20260901-A,Articulated Truck,Zone_D,9445.5,34.7,3,53,302.5,387.8,true,true,true
2026-09-01T13:00:00Z,M06,OP06,SH-20260901-A,Motor Grader,Zone_F,3504.3,16.3,5,60,329.7,97.8,true,false,false
2026-09-01T15:00:00Z,M01,OP07,SH-20260901-B,Excavator,Zone_A,4552.2,31.1,53,28,327.1,129.7,true,false,false
2026-09-01T15:00:00Z,M02,OP08,SH-20260901-B,Wheel Loader,Zone_B,7875.9,26.3,40,14,324.9,69.4,true,true,true
2026-09-01T15:00:00Z,M03,OP09,SH-20260901-B,Excavator,Zone_B,11510.5,33.7,49,26,310.9,229.5,true,true,true
2026-09-01T15:00:00Z,M04,OP10,SH-20260901-B,Dozer,Zone_C,5687.2,47.5,21,2,330.8,159.7,true,false,false
2026-09-01T15:00:00Z,M05,OP11,SH-20260901-B,Articulated Truck,Zone_D,9447.4,42.2,5,22,311.7,389.7,true,false,false
2026-09-01T15:00:00Z,M06,OP12,SH-20260901-B,Motor Grader,Zone_E,3506.2,25.1,11,3,328.9,99.7,true,false,false
2026-09-01T17:00:00Z,M01,OP07,SH-20260901-B,Excavator,Zone_A,4554.0,32.5,50,6,331.3,131.5,true,true,true
2026-09-01T17:00:00Z,M02,OP08,SH-20260901-B,Wheel Loader,Zone_A,7877.8,25.5,44,6,328.0,71.3,true,true,true
2026-09-01T17:00:00Z,M03,OP09,SH-20260901-B,Excavator,Zone_B,11512.4,40.4,59,6,306.7,231.4,true,false,false
2026-09-01T17:00:00Z,M04,OP10,SH-20260901-B,Dozer,Zone_C,5689.1,41.0,22,12,332.6,161.6,true,false,false
2026-09-01T17:00:00Z,M05,OP11,SH-20260901-B,Articulated Truck,Zone_D,9449.3,42.8,6,9,304.2,391.6,true,false,false
2026-09-01T17:00:00Z,M06,OP12,SH-20260901-B,Motor Grader,Zone_F,3508.1,21.6,6,18,280.8,101.6,true,false,false
2026-09-01T19:00:00Z,M01,OP07,SH-20260901-B,Excavator,Zone_D,4555.9,36.4,48,5,330.9,133.4,true,true,true
2026-09-01T19:00:00Z,M02,OP08,SH-20260901-B,Wheel Loader,Zone_E,7879.6,22.9,33,36,328.5,73.1,true,false,false
2026-09-01T19:00:00Z,M03,OP09,SH-20260901-B,Excavator,Zone_H,11514.4,39.4,40,15,311.0,233.4,true,false,false
2026-09-01T19:00:00Z,M04,OP10,SH-20260901-B,Dozer,Zone_B,5690.9,40.6,26,12,335.7,163.4,true,false,false
2026-09-01T19:00:00Z,M05,OP11,SH-20260901-B,Articulated Truck,Zone_D,9451.2,42.3,4,31,308.7,393.5,true,true,true
2026-09-01T19:00:00Z,M06,OP12,SH-20260901-B,Motor Grader,Zone_C,3509.9,19.5,8,19,327.8,103.4,true,false,false
2026-09-01T21:00:00Z,M01,OP07,SH-20260901-B,Excavator,Zone_A,4557.7,28.3,49,33,332.5,135.2,true,false,false
2026-09-01T21:00:00Z,M02,OP08,SH-20260901-B,Wheel Loader,Zone_F,7881.5,21.9,22,56,326.6,75.0,true,true,true
2026-09-01T21:00:00Z,M03,OP09,SH-20260901-B,Excavator,Zone_B,11516.3,33.2,46,24,307.8,235.3,true,false,false
2026-09-01T21:00:00Z,M04,OP10,SH-20260901-B,Dozer,Zone_C,5692.8,34.4,14,51,332.2,165.3,true,false,false
2026-09-01T21:00:00Z,M05,OP11,SH-20260901-B,Articulated Truck,Zone_D,9453.1,28.3,2,76,306.5,395.4,true,false,false
2026-09-01T21:00:00Z,M06,OP12,SH-20260901-B,Motor Grader,Zone_F,3511.7,15.8,5,64,331.4,105.2,true,true,true
2026-09-02T07:00:00Z,M01,OP01,SH-20260902-A,Excavator,Zone_A,4559.6,34.0,69,1,323.3,137.1,true,false,false
2026-09-02T07:00:00Z,M02,OP02,SH-20260902-A,Wheel Loader,Zone_G,7883.4,48.3,45,6,327.4,76.9,true,true,true
2026-09-02T07:00:00Z,M03,OP03,SH-20260902-A,Excavator,Zone_G,11518.2,38.6,46,16,313.7,237.2,true,true,true
2026-09-02T07:00:00Z,M04,OP04,SH-20260902-A,Dozer,Zone_C,5694.7,42.6,19,26,332.4,167.2,true,false,false
2026-09-02T07:00:00Z,M05,OP05,SH-20260902-A,Articulated Truck,Zone_D,9455.1,39.9,5,16,309.6,397.4,true,false,false
2026-09-02T07:00:00Z,M06,OP06,SH-20260902-A,Motor Grader,Zone_F,3513.6,22.0,10,8,330.0,107.1,true,false,false
2026-09-02T09:00:00Z,M01,OP01,SH-20260902-A,Excavator,Zone_A,4561.4,27.3,37,35,328.3,138.9,true,true,true
2026-09-02T09:00:00Z,M02,OP02,SH-20260902-A,Wheel Loader,Zone_E,7885.4,28.7,46,9,326.2,78.9,false,false,true
2026-09-02T09:00:00Z,M03,OP03,SH-20260902-A,Excavator,Zone_H,11520.1,37.1,48,12,310.7,239.1,true,false,false
2026-09-02T09:00:00Z,M04,OP04,SH-20260902-A,Dozer,Zone_A,5696.6,41.5,22,8,324.4,169.1,true,true,true
2026-09-02T09:00:00Z,M05,OP05,SH-20260902-A,Articulated Truck,Zone_A,9457.0,44.6,7,12,302.4,399.3,true,true,true
2026-09-02T09:00:00Z,M06,OP06,SH-20260902-A,Motor Grader,Zone_F,3515.6,24.9,7,7,331.8,109.1,true,false,false
2026-09-02T11:00:00Z,M01,OP01,SH-20260902-A,Excavator,Zone_A,4563.3,31.2,56,15,330.5,140.8,true,true,true
2026-09-02T11:00:00Z,M02,OP02,SH-20260902-A,Wheel Loader,Zone_D,7887.2,27.0,52,3,326.7,80.7,true,true,true
2026-09-02T11:00:00Z,M03,OP03,SH-20260902-A,Excavator,Zone_A,11522.1,34.8,67,7,307.6,241.1,true,true,true
